"key","en","cs"
"BB_FloatingCave_Tundra_Boss.name","$minibossLevel &9Neith's Recruit","$minibossLevel &9Neithina nováčkyně"
"BB_HiddenChamber_Barren_Boss.name","$minibossLevel &2Weaver","$minibossLevel &2Tkadlec"
"BB_HiddenChamber_Desert_Boss.name","$minibossLevel &6Firecore","$minibossLevel &6Ohnivé jádro"
"BB_HiddenChamber_End_Boss.name","$minibossLevel &5Worm Queen","$minibossLevel &5Červí královna"
"BB_HiddenChamber_Grasslands_Boss.name","$minibossLevel &dSorcerer","$minibossLevel &dČaroděj"
"BB_HiddenChamber_Nether_Boss.name","$minibossLevel &4PinkPyre","$minibossLevel &4Růžová hranice"
"BB_HiddenChamber_Tundra_Boss.name","$minibossLevel &9Chamber Guardian","$minibossLevel &9Strážce komnaty"
"BB_HiddenChamber_Tundra_Reinforcement.name","$reinforcementLevel &9Helper","$reinforcementLevel &9Pomocník"
"BB_SurfaceDungeon_Barren_Boss.name","$minibossLevel &2Dungeon Keeper","$minibossLevel &2Správce žaláře"
"BB_SurfaceDungeon_Desert_Boss.name","$minibossLevel &6Totemic Beast","$minibossLevel &6Totemové zvíře"
"BB_SurfaceDungeon_End_Boss.name","$minibossLevel &5The shadow","$minibossLevel &5Stín"
"BB_SurfaceDungeon_End_Reinforcement.name","$minibossLevel &5The shadow","$minibossLevel &5Stín"
"BB_SurfaceDungeon_Grasslands_Boss.name","$minibossLevel &dDungeon Master","$minibossLevel &dPán žaláře"
"BB_SurfaceDungeon_Nether_Boss.name","$minibossLevel &4Ziburini","$minibossLevel &4Ziburini"
"BB_SurfaceDungeon_Tundra_Boss.name","$minibossLevel &9Frozen Archer","$minibossLevel &9Mrazivý lučištník"
"BB_TeethArena_Barren_Boss.name","$minibossLevel &2Zombie Chief","$minibossLevel &2Náčelník zombie"
"BB_TeethArena_Desert_Boss.name","$minibossLevel &6Infected Villager","$minibossLevel &6Nakažený vesničan"
"BB_TeethArena_End_Boss.name","$minibossLevel &5Voider","$minibossLevel &5Prázdnotář"
"BB_TeethArena_Grasslands_Boss.name","$minibossLevel &dBeast Tamer","$minibossLevel &dKrotitel bestií"
"BB_TeethArena_Nether_Boss.name","$minibossLevel &4Energizer","$minibossLevel &4Energizér"
"BB_TeethArena_Tundra_Boss.name","$minibossLevel &9Sniper","$minibossLevel &9Ostrostřelec"
"BB_ThroneRoom_Barren_Boss.name","$minibossLevel &2Earth Summoner","$minibossLevel &2Vyvolávač země"
"BB_ThroneRoom_Desert_Boss.name","$minibossLevel &6Darklord","$minibossLevel &6Temný pán"
"BB_ThroneRoom_Desert_Reinforcement.name","$minibossLevel &6Creature","$minibossLevel &6Tvor"
"BB_ThroneRoom_End_Boss.name","$minibossLevel &5Bug","$minibossLevel &5Brouk"
"BB_ThroneRoom_Grasslands_Boss.name","$minibossLevel &dSilk Queen","$minibossLevel &dHedvábná královna"
"BB_ThroneRoom_Nether_Boss.name","$minibossLevel &4Eye Of Terror","$minibossLevel &4Oko hrůzy"
"BB_ThroneRoom_Nether_Reinforcement.name","$reinforcementLevel &cWatcher","$reinforcementLevel &cPozorovatel"
"BB_ThroneRoom_Tundra_Boss.name","$minibossLevel &aSlime King","$minibossLevel &aKrál slizu"
"BB_Tower_Barren_Boss.name","$minibossLevel &2Glinda","$minibossLevel &2Glinda"
"BB_Tower_Desert_Boss.name","$minibossLevel &6Guard of the Citadel","$minibossLevel &6Strážce citadely"
"BB_Tower_End_Boss.name","$minibossLevel &5Black Angel","$minibossLevel &5Černý anděl"
"BB_Tower_Grasslands_Boss.name","$minibossLevel &dCaster","$minibossLevel &dVyvolávač"
"BB_Tower_Nether_Boss.name","$minibossLevel &4OverLord","$minibossLevel &4Nejvyšší pán"
"BB_Tower_Tundra_Boss.name","$minibossLevel &9Frosted Undead","$minibossLevel &9Zmrzlý nemrtvý"
"BB_WaterTubes_Barren_Boss.name","$minibossLevel &2Lost Pirate","$minibossLevel &2Ztracený pirát"
"BB_WaterTubes_Desert_Boss.name","$minibossLevel &6Architeuthis","$minibossLevel &6Architeuthis"
"BB_WaterTubes_End_Boss.name","$minibossLevel &5Worm Trainer","$minibossLevel &5Cvičitel červů"
"BB_WaterTubes_End_Reinforcement.name","Worm","Červ"
"BB_WaterTubes_Grasslands_Boss.name","$minibossLevel &dSiren","$minibossLevel &dSirena"
"BB_WaterTubes_Nether_Boss.name","$minibossLevel &4Floating Horror","$minibossLevel &4Plovoucí hrůza"
"BB_WaterTubes_Tundra_Boss.name","$minibossLevel &9Nanook","$minibossLevel &9Nanook"
"Changelogs.adminOnly","&cThis command is only available to plugin administrators in-game.","&cThis command is only available to plugin administrators in-game."
"Changelogs.chatHeader","&8&m---------------- <g:#8B0000:#CC4400:#DAA520>Update Notes</g> &f$plugin &8&m----------------","&8&m---------------- <g:#8B0000:#CC4400:#DAA520>Update Notes</g> &f$plugin &8&m----------------"
"Changelogs.chatInstructions","&7Use &f/$command dismiss &7to dismiss these notes, or &f/$command disable &7to permanently hide reminders.","&7Use &f/$command dismiss &7to dismiss these notes, or &f/$command disable &7to permanently hide reminders."
"Changelogs.commandDescription","Views unread $plugin changelogs.","Views unread $plugin changelogs."
"Changelogs.commandUsage","/$command [dismiss|disable]","/$command [dismiss|disable]"
"Changelogs.dialogExternalTitle","$plugin Changelog","$plugin Changelog"
"Changelogs.dialogTitle","<g:#8B0000:#CC4400:#DAA520>Update Notes</g> &f— $plugin","<g:#8B0000:#CC4400:#DAA520>Update Notes</g> &f— $plugin"
"Changelogs.disableButton","<g:#7A1F2B:#C2414A>Never Show Changelogs</g>","<g:#7A1F2B:#C2414A>Never Show Changelogs</g>"
"Changelogs.disableTooltip","&7Permanently hide update-note reminders for this plugin","&7Permanently hide update-note reminders for this plugin"
"Changelogs.disabled","$prefix&7Changelog reminders have been permanently disabled for you.","$prefix&7Changelog reminders have been permanently disabled for you."
"Changelogs.dismissButton","<g:#2E7D4F:#69C56F>Dismiss These Updates</g>","<g:#2E7D4F:#69C56F>Dismiss These Updates</g>"
"Changelogs.dismissedAll","$prefix&7The currently available update notes were dismissed.","$prefix&7The currently available update notes were dismissed."
"Changelogs.dismissedPage","$prefix&7These update notes were dismissed. Older notes remain. ","$prefix&7These update notes were dismissed. Older notes remain. "
"Changelogs.logoutCommandDescription","Remove the registered Nightbreak account token","Remove the registered Nightbreak account token"
"Changelogs.logoutFailure","&cThe shared Nightbreak account token could not be removed.","&cThe shared Nightbreak account token could not be removed."
"Changelogs.logoutPermissionDenied","&cYou don't have permission to use this command.","&cYou don't have permission to use this command."
"Changelogs.logoutReconnect","&7Use &a/nightbreaklogin <token> &7to connect it again.","&7Use &a/nightbreaklogin <token> &7to connect it again."
"Changelogs.logoutSuccess","&aThis server is no longer connected to a Nightbreak account.","&aThis server is no longer connected to a Nightbreak account."
"Changelogs.noUnread","$prefix&7There are no unread changelogs.","$prefix&7There are no unread changelogs."
"Changelogs.omittedChat","&7$count older release(s) were omitted from this digest.","&7$count older release(s) were omitted from this digest."
"Changelogs.omittedDialog","&7$count older tracked release(s) were omitted to keep this digest readable.","&7$count older tracked release(s) were omitted to keep this digest readable."
"Changelogs.pendingNotice","$prefix<g:#B8860B:#F0C040>New update notes are waiting.</g> ","$prefix<g:#B8860B:#F0C040>New update notes are waiting.</g> "
"Changelogs.prefix","&8[<g:#8B0000:#CC4400:#DAA520>◆</g> &f$plugin&8] &f","&8[<g:#8B0000:#CC4400:#DAA520>◆</g> &f$plugin&8] &f"
"Changelogs.releaseHeader","$component $version
","$component $version
"
"Changelogs.unavailable","&cThe changelog service is not currently available.","&cThe changelog service is not currently available."
"Changelogs.viewButton","<g:#267A78:#58B8A9>[VIEW CHANGELOG]</g>","<g:#267A78:#58B8A9>[VIEW CHANGELOG]</g>"
"Changelogs.viewHover","&7See what changed since your last review","&7See what changed since your last review"
"Changelogs.viewNextButton","<g:#267A78:#58B8A9>[VIEW NEXT]</g>","<g:#267A78:#58B8A9>[VIEW NEXT]</g>"
"Changelogs.viewNextHover","&7Open the next page of unread update notes","&7Open the next page of unread update notes"
"CombatTag.combatTagMessage","&c[EliteMobs] Combat tag activated!","&c[EliteMobs] Bojové označení aktivováno!"
"CombatTag.teleportCancelled","&7[EM] &cTeleport interrupted!","&7[EM] &cTeleport přerušen!"
"CombatTag.teleportTimeLeft","&7[EM] Teleporting in &a$time &7seconds...","&7[EM] Teleport za &a$time &7sekund..."
"EconomySettings.actionbarCurrencyShowerMessage","&7[EM] You've picked up &a$amount $currency_name!","&7[EM] Sebral jsi &a$amount $currency_name!"
"EconomySettings.adventurersGuildNotificationMessages","&7[EM] Extra spending money? Try &a/ag !","&7[EM] Přebývají ti mince? Zkus &a/ag !"
"EconomySettings.chatCurrencyShowerMessage","&7[EM] You've picked up &a$amount $currency_name!","&7[EM] Sebral jsi &a$amount $currency_name!"
"EconomySettings.currencyName","Elite Coins","Elitní mince"
"EconomySettings.economyCurrencyLeftMessage","You now have &2$amount_left $currency_name","Nyní máš &2$amount_left $currency_name"
"EconomySettings.economyPayMessageV2","&2You have paid &2$amount_sent $currency_name &2to $receiver&2, who got $amount_received after taxes!","&2Zaplatil jsi &2$amount_sent $currency_name &2hráči $receiver&2, který obdržel $amount_received po zdanění!"
"EconomySettings.economyPaymentInsufficientCurrency","&cYou don't have enough $currency_name to do that!","&cNemáš dostatek $currency_name pro tuto akci!"
"EconomySettings.economyPaymentReceivedMessage","You have received &2$amount_received $currency_name &ffrom $sender","Přijal jsi &2$amount_received $currency_name &fod $sender"
"EconomySettings.shopBatchSellItem","&aYou have sold your items &afor $currency_amount $currency_name!","&aProdal jsi své předměty &aza $currency_amount $currency_name!"
"EconomySettings.shopBuyMessage","&aYou have bought $item_name &afor $item_value $currency_name!","&aKoupil jsi $item_name &aza $item_value $currency_name!"
"EconomySettings.shopCurrentBalanceMessage","&aYou have $currency_amount $currency_name.","&aMáš $currency_amount $currency_name."
"EconomySettings.shopInsufficientFundsMessage","&cYou don't have enough $currency_name!","&cNemáš dostatek $currency_name!"
"EconomySettings.shopItemCostMessage","That item costs &c$item_value $currency_name.","Tento předmět stojí &c$item_value $currency_name."
"EconomySettings.shopSaleInstructions","&cYou can only sell EliteMobs loot here! (Armor / weapons dropped from elites showing a value on their lore)","&cZde lze prodávat pouze kořist EliteMobs! (Zbroj / zbraně upuštěné elitami se zobrazenou hodnotou v popisu)"
"EconomySettings.shopSalePlayerItemsWarning","&cYou can't sell items that are not currently soulbound to you!","&cNemůžeš prodávat předměty, které nejsou aktuálně vázány na tvoji duši!"
"EconomySettings.shopSellMessage","&aYou have sold $item_name &afor $currency_amount $currency_name!","&aProdal jsi $item_name &aza $currency_amount $currency_name!"
"EconomySettings.walletCommandMessage","You have &2$balance $currency_name","Máš &2$balance $currency_name"
"FloatingCave_nether_bandit_boots.lore[0]","Used to belong to the bandit leader.","Kdysi patřily vůdci banditů."
"FloatingCave_nether_bandit_boots.lore[1]","Will earn you respect among its kind.","Získáš jimi respekt mezi jejich druhem."
"FloatingCave_nether_bandit_boots.name","&4Bandit Boots","&4Banditovy boty"
"FloatingCave_nether_bandit_chestplate.lore[0]","Used to belong to the bandit leader.","Kdysi patřil vůdci banditů."
"FloatingCave_nether_bandit_chestplate.lore[1]","Will earn you respect among its kind.","Získáš jím respekt mezi jejich druhem."
"FloatingCave_nether_bandit_chestplate.name","&4Bandit Chestplate","&4Banditův náprsník"
"FloatingCave_nether_bandit_leggings.lore[0]","Used to belong to the bandit leader.","Kdysi patřily vůdci banditů."
"FloatingCave_nether_bandit_leggings.lore[1]","Will earn you respect among its kind.","Získáš jimi respekt mezi jejich druhem."
"FloatingCave_nether_bandit_leggings.name","&4Bandit Leggings","&4Banditovy nohavice"
"GamblingSettings.betting.adjustBetLore","&7Click to adjust bet by ","&7Klikni pro úpravu sázky o "
"GamblingSettings.betting.affordableColor","&a","&a"
"GamblingSettings.betting.allInButton","&b&lALL IN","&b&lVŠE NA STŮL"
"GamblingSettings.betting.allInLore","&7Bet everything you have!","&7Vsaď vše, co máš!"
"GamblingSettings.betting.availableCreditLabel","&7Available Credit: &e","&7Dostupný kredit: &e"
"GamblingSettings.betting.balanceLabel","&7Balance: &a","&7Zůstatek: &a"
"GamblingSettings.betting.blackjackDescription","Get as close to 21 as possible without going over!","Dostaň se co nejblíže 21 bez překročení!"
"GamblingSettings.betting.blackjackName","Blackjack","Blackjack"
"GamblingSettings.betting.cancelLore","&7Click to leave the casino","&7Klikni pro opuštění kasina"
"GamblingSettings.betting.cantAffordButton","&c&lCan't Afford","&c&lNedostatek prostředků"
"GamblingSettings.betting.cantAffordLore","&cYou can't afford this bet!","&cNemůžeš si dovolit tuto sázku!"
"GamblingSettings.betting.casinoClosedMessage","&c[Casino] The casino is currently closed!","&c[Casino] Kasino je momentálně zavřeno!"
"GamblingSettings.betting.clickPlayLore","&7Click Play to start!","&7Klikni na Hrát pro zahájení!"
"GamblingSettings.betting.coinFlipDescription","Heads or Tails? Simple 50/50 chance!","Orel nebo Panna? Jednoduché 50/50!"
"GamblingSettings.betting.coinFlipName","Coin Flip","Hod mincí"
"GamblingSettings.betting.currentBetPrefix","Current Bet: ","Aktuální sázka: "
"GamblingSettings.betting.debtLabel","&7Debt: &c","&7Dluh: &c"
"GamblingSettings.betting.higherLowerDescription","Guess if the next card is higher or lower!","Hádej, zda je další karta vyšší nebo nižší!"
"GamblingSettings.betting.higherLowerName","Higher or Lower","Výš nebo Níž"
"GamblingSettings.betting.maxAvailableLabel","&7Max available: &6","&7Max dostupné: &6"
"GamblingSettings.betting.reduceBetLore","&7Reduce your bet or pay off debt","&7Sniž sázku nebo splať dluh"
"GamblingSettings.betting.resetButton","&8&lRESET","&8&lRESET"
"GamblingSettings.betting.resetLore","&7Reset to minimum bet: &6","&7Resetovat na minimální sázku: &6"
"GamblingSettings.betting.selectBetLore","&eSelect your bet amount below!","&eVyber výši sázky níže!"
"GamblingSettings.betting.slotsDescription","Match three symbols to win big!","Seřaď tři symboly a vyhraj velkou výhru!"
"GamblingSettings.betting.slotsName","Slot Machine","Hrací automat"
"GamblingSettings.betting.startGameLore","&7Start the game with your current bet!","&7Zahaj hru s aktuální sázkou!"
"GamblingSettings.betting.unaffordableColor","&c","&c"
"GamblingSettings.betting.yourFinancesTitle","&6Your Finances","&6Tvoje finance"
"GamblingSettings.blackjack.betLabel","&aBet: ","&aSázka: "
"GamblingSettings.blackjack.blackjackPayoutLabel","&7Blackjack: ","&7Blackjack: "
"GamblingSettings.blackjack.cardOfText"," &7of "," &7z "
"GamblingSettings.blackjack.cardSuitClubs","Clubs","Kříže"
"GamblingSettings.blackjack.cardSuitDiamonds","Diamonds","Káry"
"GamblingSettings.blackjack.cardSuitHearts","Hearts","Srdce"
"GamblingSettings.blackjack.cardSuitSpades","Spades","Piky"
"GamblingSettings.blackjack.cardValueLabel","&7Value: ","&7Hodnota: "
"GamblingSettings.blackjack.dealerLabel","&cDealer: ","&cKrupier: "
"GamblingSettings.blackjack.doubleDownButton","&6&lDOUBLE DOWN","&6&lZDVOJIT SÁZKU"
"GamblingSettings.blackjack.doubleDownButtonLore","&7Double your bet, take one card, then stand","&7Zdvoj sázku, vezmi jednu kartu a pak stůj"
"GamblingSettings.blackjack.doubleDownCantAffordLore","&cYou can't afford to double!","&cNemůžeš si dovolit zdvojení!"
"GamblingSettings.blackjack.doubleDownDisabled","&7Double Down","&7Zdvojení sázky"
"GamblingSettings.blackjack.hiddenCardLore","&7Hidden","&7Skrytá"
"GamblingSettings.blackjack.hiddenCardText","&8???","&8???"
"GamblingSettings.blackjack.hitButton","&a&lHIT","&a&lBRAT"
"GamblingSettings.blackjack.hitButtonLore","&7Draw another card","&7Lízni další kartu"
"GamblingSettings.blackjack.playerLabel","&aYou: ","&aTy: "
"GamblingSettings.blackjack.resultBetReturned","&7Your bet was returned.","&7Tvoje sázka byla vrácena."
"GamblingSettings.blackjack.resultBlackjack","&a&lBLACKJACK!","&a&lBLACKJACK!"
"GamblingSettings.blackjack.resultBust","&c&lBUST!","&c&lPŘEKROČENÍ!"
"GamblingSettings.blackjack.resultCloseToContinue","&eClose to continue","&eZavři pro pokračování"
"GamblingSettings.blackjack.resultDealerBusts","&a&lDEALER BUSTS!","&a&lKRUPIÉR PŘEKROČIL!"
"GamblingSettings.blackjack.resultDealerLabel","&7Dealer: ","&7Krupier: "
"GamblingSettings.blackjack.resultDealerWins","&c&lDEALER WINS","&c&lKRUPIÉR VYHRÁL"
"GamblingSettings.blackjack.resultGameOver","&7Game Over","&7Konec hry"
"GamblingSettings.blackjack.resultLostPrefix","&cYou lost ","&cProhráls "
"GamblingSettings.blackjack.resultPlayerLabel","&7Player: ","&7Hráč: "
"GamblingSettings.blackjack.resultPush","&e&lPUSH - TIE","&e&lREMÍZA - SHODA"
"GamblingSettings.blackjack.resultWonPrefix","&aYou won ","&aVyhráls "
"GamblingSettings.blackjack.resultWonSuffix"," coins!"," mincí!"
"GamblingSettings.blackjack.resultYouWin","&a&lYOU WIN!","&a&lVYHRÁLS!"
"GamblingSettings.blackjack.standButton","&e&lSTAND","&e&lSTÁT"
"GamblingSettings.blackjack.standButtonLore","&7Keep your current hand","&7Ponech svoji aktuální ruku"
"GamblingSettings.blackjack.winPayoutLabel","&7Win: ","&7Výhra: "
"GamblingSettings.coinFlip.betLabel","&aBet: ","&aSázka: "
"GamblingSettings.coinFlip.chooseLore","&7Choose Heads or Tails!","&7Zvol Orel nebo Panna!"
"GamblingSettings.coinFlip.closeToContinue","&eClose to continue","&eZavři pro pokračování"
"GamblingSettings.coinFlip.coinTitle","&6&lThe Coin","&6&lMince"
"GamblingSettings.coinFlip.edgeChanceLore","&b✦ 1% chance to land on EDGE!","&b✦ 1% šance na dopad na HRANU!"
"GamblingSettings.coinFlip.edgeChatMessageV2","&b&l✦ EDGE! ✦ &7The coin landed on its edge! &a5x PAYOUT! &7You won &a%amount% coins&7!","&b&l✦ HRANA! ✦ &7Mince dopadla na hranu! &a5x VÝPLATA! &7Vyhráls &a%amount% mincí&7!"
"GamblingSettings.coinFlip.edgeCoinLore","&7The coin landed on its &bEDGE&7!","&7Mince dopadla na svoji &bHRANU&7!"
"GamblingSettings.coinFlip.edgeCoinTitle","&b&l✦ EDGE! ✦","&b&l✦ HRANA! ✦"
"GamblingSettings.coinFlip.edgeLandedLore","&7The coin landed on its &bEDGE&7!","&7Mince dopadla na svoji &bHRANU&7!"
"GamblingSettings.coinFlip.edgePayoutLoreV2","&b✦ Edge Payout: &a5x &7(&a","&b✦ Výplata za hranu: &a5x &7(&a"
"GamblingSettings.coinFlip.edgePayoutMultiplierV2","&6&l5x PAYOUT!","&6&l5x VÝPLATA!"
"GamblingSettings.coinFlip.edgeRareLore","&7This is incredibly rare! (1% chance)","&7Toto je neuvěřitelně vzácné! (1% šance)"
"GamblingSettings.coinFlip.edgeResultTitle","&b&l✦ INCREDIBLE! ✦","&b&l✦ NEUVĚŘITELNÉ! ✦"
"GamblingSettings.coinFlip.edgeWonPrefix","&7You won &a","&7Vyhráls &a"
"GamblingSettings.coinFlip.flipping","&7Flipping...","&7Házím..."
"GamblingSettings.coinFlip.headsBetLore","&7Click to bet on Heads!","&7Klikni pro sázku na Orla!"
"GamblingSettings.coinFlip.headsButton","&e&lHEADS","&e&lOREL"
"GamblingSettings.coinFlip.headsText","&e&lHEADS","&e&lOREL"
"GamblingSettings.coinFlip.headsWord","Heads","Orel"
"GamblingSettings.coinFlip.landedOnLore","&7The coin landed on ","&7Mince dopadla na "
"GamblingSettings.coinFlip.lostPrefix","&7You lost &c","&7Prohrál jsi &c"
"GamblingSettings.coinFlip.makeYourChoice","&7Make your choice!","&7Udělej svoji volbu!"
"GamblingSettings.coinFlip.normalWinLabel","&7Normal Win: &a","&7Normální výhra: &a"
"GamblingSettings.coinFlip.payoutLabel","&7Payout: &e","&7Výplata: &e"
"GamblingSettings.coinFlip.tailsBetLore","&7Click to bet on Tails!","&7Klikni pro sázku na Pannu!"
"GamblingSettings.coinFlip.tailsButton","&6&lTAILS","&6&lPANNA"
"GamblingSettings.coinFlip.tailsText","&6&lTAILS","&6&lPANNA"
"GamblingSettings.coinFlip.tailsWord","Tails","Panna"
"GamblingSettings.coinFlip.willFlipLore","&7The coin will flip...","&7Mince se otočí..."
"GamblingSettings.coinFlip.winLore","&7Win: &a","&7Výhra: &a"
"GamblingSettings.coinFlip.wonPrefix","&7You won &a","&7Vyhráls &a"
"GamblingSettings.coinFlip.youLose","&c&lYOU LOSE","&c&lPROHRÁLS"
"GamblingSettings.coinFlip.youWin","&a&lYOU WIN!","&a&lVYHRÁLS!"
"GamblingSettings.debtCollector.deathMessage","&c[Debt Collector] &7Ugh... I'll be back, &e$player&7. And I'll bring friends!","&c[Debt Collector] &7Ugh... Vrátím se, &e$player&7. A přivedu přátele!"
"GamblingSettings.debtCollector.debtAutoClearedMessage","&c[Debt Collector] &7That settles your debt. You're square with us... for now. Try not to push your luck again.","&c[Debt Collector] &7That settles your debt. You're square with us... for now. Try not to push your luck again."
"GamblingSettings.debtCollector.debtAutoCollectedMessage","&c[Debt Collector] &7Nice earnings. I'll be taking &6$amount coins &7off the top. You still owe &6$remaining coins&7. Don't forget it.","&c[Debt Collector] &7Nice earnings. I'll be taking &6$amount coins &7off the top. You still owe &6$remaining coins&7. Don't forget it."
"GamblingSettings.debtCollector.debtClearedMessage","&a[Casino] &7Your debt has been cleared! You're free... for now.","&a[Casino] &7Tvůj dluh byl smazán! Jsi volný... prozatím."
"GamblingSettings.debtCollector.debtPaidMessage","&7[Casino] &e$amount coins &7of debt paid. Remaining debt: &c$remaining coins","&7[Casino] &e$amount mincí &7dluhu zaplaceno. Zbývající dluh: &c$remaining mincí"
"GamblingSettings.debtCollector.killMessage","&c[Debt Collector] &7Pleasure doing business, &e$player&7. Let that be a lesson about debts!","&c[Debt Collector] &7Příjemné obchodování, &e$player&7. Ať ti to je poučením o dluzích!"
"GamblingSettings.debtCollector.spawnMessage","&c[Debt Collector] &7Well well well... &e$player&7. You owe us &6$amount coins&7. Time to pay up!","&c[Debt Collector] &7No no no... &e$player&7. Dlužíš nám &6$amount mincí&7. Čas zaplatit!"
"GamblingSettings.debtCollector.timeoutMessage","&c[Debt Collector] &7Running won't save you, &e$player&7. I'll be back for what you owe!","&c[Debt Collector] &7Útěk tě nezachrání, &e$player&7. Vrátím se pro to, co dlužíš!"
"GamblingSettings.gambling.currencyWord","coins","mincí"
"GamblingSettings.gambling.houseEarningsLabel","&6House Earnings: ","&6Výdělek kasina: "
"GamblingSettings.higherLower.autoCashOutChat","&a[Casino] Auto-cashed out: &6%amount% coins &a(Streak: %streak%)","&a[Casino] Automaticky vyplaceno: &6%amount% mincí &a(Série: %streak%)"
"GamblingSettings.higherLower.autoCashoutSuffix"," &7(auto-cashout)"," &7(auto-výplata)"
"GamblingSettings.higherLower.betLabel","&aBet: ","&aSázka: "
"GamblingSettings.higherLower.cardValueLabel","&7Value: &f","&7Hodnota: &f"
"GamblingSettings.higherLower.cashOutButton","&e&lCASH OUT","&e&lVYPLATIT"
